soc,voltage_v_pos,voltage_v_neg,ocv_avg_v
0.0,,4.156571666666666,4.156571666666666
0.01,,4.14641125,4.14641125
0.02,,4.1283228,4.1283228
0.03,,4.115198799999999,4.115198799999999
0.04,,4.1037216,4.1037216
0.05,,4.094740399999999,4.094740399999999
0.06,,4.086417083333333,4.086417083333333
0.07,,4.0787052,4.0787052
0.08,,4.071216799999999,4.071216799999999
0.09,,4.0625704,4.0625704
0.1,,4.053949599999999,4.053949599999999
0.11,,4.044116666666667,4.044116666666667
0.12,4.197175,4.0336204,4.1153977
0.13,4.185725294117646,4.023248,4.104486647058823
0.14,4.1732768,4.0117184,4.0924976
0.15,4.156102083333333,4.0008588,4.078480441666667
0.16,4.1418792,3.9894029166666667,4.065641058333333
0.17,4.1303748,3.978162,4.0542684
0.18,4.1193604,3.9676628,4.0435115999999995
0.19,4.10989,3.9564671999999996,4.033178599999999
0.2,4.100099583333333,3.946584,4.023341791666667
0.21,4.0897116,3.936699583333333,4.013205591666667
0.22,4.0789556000000005,3.9271032000000003,4.003029400000001
0.23,4.066396,3.918327999999999,3.9923619999999995
0.24,4.0542996,3.9091155999999994,3.9817076
0.25,4.041498333333333,3.9008812,3.971189766666667
0.26,4.0285383999999995,3.8926575,3.9605979499999995
0.27,4.0161332,3.8845896,3.9503614
0.28,4.0029312,3.8765856000000003,3.9397584
0.29,3.990964,3.8679132,3.9294386
0.3,3.9790349999999997,3.8601932,3.9196140999999995
0.31,3.9678028,3.8517012,3.909752
0.32,3.9573532,3.8435952,3.9004742
0.33,3.9464156000000004,3.8349158333333335,3.8906657166666667
0.34,3.9368171999999997,3.8260703999999994,3.8814437999999996
0.35000000000000003,3.9269604,3.8175252,3.8722428
0.36,3.9181324,3.8081316000000003,3.8631320000000002
0.37,3.9090120833333337,3.799228,3.8541200416666666
0.38,3.8999636,3.789718333333333,3.8448409666666663
0.39,3.8913168,3.7799276,3.8356222
0.4,3.8817676000000008,3.7702264,3.825997
0.41000000000000003,3.8727083999999996,3.7592376,3.8159729999999996
0.42,3.8630641666666663,3.7484783999999998,3.805771283333333
0.43,3.8533048,3.736665,3.7949849
0.44,3.8437559999999995,3.7244424000000005,3.7840992
0.45,3.8331272000000003,3.7128376000000003,3.7729824
0.46,3.8232712,3.7011804000000006,3.7622258000000004
0.47000000000000003,3.8129325,3.691478,3.7522052500000003
0.48,3.8024760000000004,3.682222083333333,3.7423490416666665
0.49,3.7921828,3.6736939999999993,3.7329383999999997
0.5,3.7801896,3.6659995999999997,3.7230945999999996
0.51,3.7676816000000004,3.6580732,3.7128774
0.52,3.753552916666667,3.6510996000000007,3.7023262583333336
0.53,3.7401175999999996,3.644157083333333,3.6921373416666663
0.54,3.7287684000000003,3.6375127999999997,3.6831405999999998
0.55,3.717858,3.6313112000000003,3.6745846
0.56,3.7085928,3.6247216000000004,3.6666572000000004
0.5700000000000001,3.69945375,3.6188272000000006,3.659140475
0.58,3.6907316,3.6128991666666668,3.651815383333333
0.59,3.68278,3.6070932000000004,3.6449366000000003
0.6,3.6746735999999998,3.6016372000000003,3.6381554
0.61,3.6674924,3.5957956,3.631644
0.62,3.660206666666666,3.5903663999999997,3.625286533333333
0.63,3.6532092,3.5845764000000004,3.6188928000000002
0.64,3.6468012,3.5792231999999995,3.6130122
0.65,3.6401104,3.573655,3.6068827
0.66,3.6341388,3.567978,3.6010584000000003
0.67,3.62773,3.5624455999999998,3.5950878
0.68,3.6218372,3.5564484,3.5891428
0.6900000000000001,3.61584,3.5507335999999996,3.5832867999999998
0.7000000000000001,3.6098968,3.544567916666667,3.577232358333333
0.71,3.6042096000000003,3.5381243999999996,3.571167
0.72,3.5979288,3.5317164,3.5648226000000003
0.73,3.5919572,3.5244079999999998,3.5581826
0.74,3.585572916666667,3.5171772,3.5513750583333334
0.75,3.5789612,3.5092383333333337,3.544099766666667
0.76,3.5723476,3.5007592,3.5365534
0.77,3.564756,3.4919831999999995,3.5283695999999996
0.78,3.5571888000000005,3.4818168000000003,3.5195028000000006
0.79,3.5485241666666667,3.4718831999999997,3.510203683333333
0.8,3.5389688,3.461145833333333,3.5000573166666666
0.81,3.5289311999999997,3.4503443999999996,3.4896377999999997
0.8200000000000001,3.5163972,3.439948,3.4781725999999997
0.8300000000000001,3.5034024,3.4281099999999998,3.4657562
0.84,3.4898425,3.4162456000000003,3.45304405
0.85,3.4767388,3.40270625,3.439722525
0.86,3.46382,3.3884776,3.4261488
0.87,3.4496136,3.3745044,3.412059
0.88,3.4367719999999995,3.3587032,3.3977375999999997
0.89,3.4235995833333335,3.344394,3.3839967916666667
0.9,3.4110872,3.3307028,3.370895
0.91,3.4004844,3.3191735999999996,3.3598289999999995
0.92,3.3910915999999998,3.3068458333333335,3.3489687166666666
0.93,3.3840136000000003,3.2931056,3.3385596
0.9400000000000001,3.3775150000000003,3.2772004000000003,3.3273577000000003
0.9500000000000001,3.3698324000000004,3.2536796,3.311756
0.96,3.3494512,3.2189639999999997,3.2842076
0.97,3.2996788000000006,3.1598900000000008,3.2297844000000007
0.98,3.2271804,3.0673872,3.1472838000000003
0.99,3.1088191666666667,2.9088355999999997,3.008827383333333
1.0,3.0365983333333335,2.771519230769231,2.9040587820512824
