time_s,time_min,soc,temp_c,r0_ohm,r1_ohm,c1_f,r2_ohm,c2_f,v1_v,v2_v,q_ohmic_w,q_pol1_w,q_pol2_w,q_gen_w
0.0,0.0,1.0,25.0,0.030654884097534352,0.09343467632598729,9.523412577094936,0.015507240038292177,445.0954858985586,0.0,0.0,2.3202681773423746,0.0,0.0,2.3202681773423746
1.0,0.016666666666666666,0.9991666666666666,25.051561515052054,0.03074354775002167,0.09170158627280645,9.85474123885176,0.01533814054695639,455.2179909260959,0.548667798265736,0.01819639105789541,2.3269791291991395,4.773409844911902,0.15830860220369006,7.258697576314732
2.0,0.03333333333333333,0.9983333333333333,25.212728408263352,0.030830131939252665,0.09001119795156409,10.193497408044612,0.015174100889484655,465.43428106178914,0.7154164921241832,0.033574487491079545,2.333532686482034,6.224123481480394,0.292098041172392,8.84975420913482
3.0,0.05,0.9974999999999999,25.408822337155424,0.030914636548381617,0.0883622877443582,10.53968790469594,0.015014970667504578,475.74145561776623,0.7603393353704496,0.046571020861862475,2.339928840347004,6.614952217722911,0.4051678814982035,9.360048939568118
4.0,0.06666666666666667,0.9966666666666666,25.615733231802302,0.030997062009840464,0.08675367147889493,10.893313443791651,0.014860605139726634,486.13653326556374,0.7658771366403744,0.05755211213154727,2.346167623524824,6.663131088771257,0.5007033755444612,9.510002087840542
5.0,0.08333333333333333,0.9958333333333332,25.825424656247286,0.031077409298402484,0.08518420303073798,11.25436853499128,0.01471086498508632,496.6164545640884,0.7586166858872181,0.06682523419180142,2.3522491097960834,6.599965167218797,0.5813795374686723,9.533593814483552
6.0,0.1,0.9949999999999999,26.035081164152484,0.03115567992410142,0.08365277297920459,11.622841390655113,0.014565616076867552,507.1780845808916,0.7472739442841245,0.07464905611634794,2.3581734134552357,6.501283315271883,0.649446788212227,9.508903516939347
7.0,0.11666666666666667,0.9941666666666665,26.24362991475784,0.031231875924983065,0.08215830731470414,11.998713842445948,0.014424729267273893,517.8182156068731,0.734749308280443,0.08124155997164759,2.363940688761968,6.392318982039854,0.7068015717533339,9.463061242555154
8.0,0.13333333333333333,0.9933333333333332,26.450603818153045,0.0313059998597096,0.08069976619540435,12.38196126671203,0.01428808018189119,528.533569955502,0.7220194540889857,0.08678674610371456,2.3695511293814193,6.281569250574175,0.7550446911023166,9.406165071057911
9.0,0.15,0.9924999999999998,26.65576143177259,0.03137805480002984,0.07927614275121161,12.772552518885217,0.0141555490235637,539.3208028447259,0.7094146392666849,0.09144018277981562,2.375004967814258,6.171907361620158,0.7955295901843958,9.342441919618812
