soc_group_id,n_pulses,soc_mean,r0_ohm,r1_ohm,c1_f,r2_ohm,c2_f,tau1_s,tau2_s,r_total_ohm,fit_success,message,cost,nfev
1,5,1.0,0.01235750884593292,0.0206878789301901,4.378164902724565,0.005805693408796259,1097.8528975013069,0.09057494544397332,6.373797330851212,0.038851081184919284,True,`ftol` termination condition is satisfied.,0.2203832298880069,659
2,5,1.0,0.019177941669813747,0.01216686813710502,9.415669922167718,0.0072142698330743445,1091.8083082478615,0.11455921436552051,7.876599741692482,0.03855907963999311,True,`ftol` termination condition is satisfied.,0.15003713737560112,465
3,5,1.0,0.018917640986938888,0.01102840022736915,10.805888734337888,0.007323031996371041,1025.3820351438362,0.1191716657746977,7.508905451862368,0.03726907321067908,True,`ftol` termination condition is satisfied.,0.16969672026259353,485
4,5,1.0,0.017358903903712027,0.011261147970790773,10.268034725464139,0.00662650109514825,997.8890972965058,0.11562985841266968,6.612513196071795,0.035246552969651054,True,`ftol` termination condition is satisfied.,0.1222442483791058,486
5,5,1.0,0.016505188884673755,0.011876229135176096,9.280787326546697,0.00659878200245744,1008.5786382210558,0.11022075684490695,6.655390565956137,0.03498020002230729,True,`ftol` termination condition is satisfied.,0.14309002826323208,551
6,5,1.0,0.018463389825912096,0.010171470411115404,11.10909465003072,0.006564308752287468,1072.7978976689008,0.1129958275270679,7.042176629103561,0.035199168989314966,True,`ftol` termination condition is satisfied.,0.13477383296153914,488
7,5,1.0,0.016289596081815842,0.012053187200188265,8.194835121998707,0.007288166226545852,869.8056375746617,0.09877388180012805,6.339288071430831,0.03563094950854996,True,`ftol` termination condition is satisfied.,0.14693451530674728,655
8,5,1.0,0.018201775190684166,0.011103650084994199,9.181948110071653,0.00815483703045733,904.9747357421876,0.10195313891280944,7.379921486658727,0.037460262306135694,True,`ftol` termination condition is satisfied.,0.1320964882081379,465
9,5,1.0,0.0175239787820423,0.013444976531126317,7.325954008488596,0.009451513361416926,864.1370100956733,0.09849727971223994,8.167402497014129,0.04042046867458554,True,`ftol` termination condition is satisfied.,0.16333715583410746,529
10,5,1.0,0.019446567676635673,0.014035642874967192,7.2803272334863225,0.01070558269295064,793.5587717422245,0.10218407306211191,8.495509052602726,0.044187793244553505,True,`ftol` termination condition is satisfied.,0.15165953952175487,551
11,5,1.0,0.019130774867444418,0.01941412674293225,5.982743140305147,0.014211178209807432,505.4462590435294,0.11614973359629263,7.182986862748087,0.052756079820184106,True,`ftol` termination condition is satisfied.,0.28600100631228725,635
12,5,1.0,0.02203252999651086,0.026282731905252883,7.04796900475023,0.03166146926005159,176.57663970932268,0.18523987982838228,5.590675850199925,0.07997673116181533,True,`ftol` termination condition is satisfied.,0.5628142518179065,570
13,5,1.0,0.030519101977798658,0.03906678445433379,13.876922395650816,0.08374799180338925,106.96090728067973,0.5421267361204077,8.957761186225444,0.1533338782355217,True,`ftol` termination condition is satisfied.,1.7961463128433006,1252
14,1,1.0,1.0000000000000003e-05,0.046622934227475925,3.9020888224577934,0.09367667060258345,25.733619987127955,0.18192683051921868,2.4106398429462432,0.1403096048300594,True,`ftol` termination condition is satisfied.,0.007381258531445041,247
