parameter,degree,n_points,r2,rmse,mae,expression
r0_ohm,5,64,0.29185125119156374,0.007530932559704601,0.006744289488528418,np.exp((-8.965965507882e+01)*soc**5 + (2.334290267102e+02)*soc**4 + (-2.140552457471e+02)*soc**3 + (8.319665717468e+01)*soc**2 + (-1.315688318460e+01)*soc + (-3.238863152960e+00))
r1_ohm,5,64,0.7130675708228302,0.010131475440942424,0.007000526550057057,np.exp((3.104557493948e+01)*soc**5 + (-4.540509755805e+01)*soc**4 + (1.392364563975e+01)*soc**3 + (4.996280816191e+00)*soc**2 + (-2.832983066346e+00)*soc + (-4.097913506796e+00))
c1_f,5,64,-0.20106159933090928,359.3297604540829,191.86957022468007,np.exp((-3.559776744958e+02)*soc**5 + (8.924967603258e+02)*soc**4 + (-7.950885999927e+02)*soc**3 + (2.985846738706e+02)*soc**2 + (-4.328389164793e+01)*soc + (5.522485188540e+00))
r2_ohm,5,64,-0.049436836018037944,0.045775740926075496,0.017961202226900834,np.exp((2.856643552202e+02)*soc**5 + (-7.625526665061e+02)*soc**4 + (7.168954919882e+02)*soc**3 + (-2.781016226185e+02)*soc**2 + (4.069088629178e+01)*soc + (-6.762892640388e+00))
c2_f,5,64,-0.011885686294781816,32614.21055063213,7478.957235831504,np.exp((-3.397032952820e+02)*soc**5 + (9.104326235935e+02)*soc**4 + (-8.836563205066e+02)*soc**3 + (3.728032096418e+02)*soc**2 + (-6.501328674289e+01)*soc + (1.123535813045e+01))
